gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000228623.5,ZNF883,1.182274103164673,NA,0.23709695765232286,0.0015399673272074286,NA,NA,NA,1,1,1
ENSG00000114446.4,IFT57,-1.182262521075211,NA,0.23710155182807058,0.06080359934294763,NA,NA,NA,2,2,2
ENSG00000124207.16,CSE1L,1.1821640729904175,NA,0.23714060499057243,0.0010638189903769359,NA,NA,NA,1,1,1
ENSG00000183647.10,ZNF530,-1.1818567971250904,NA,0.23726252683778615,0.001277817596890402,NA,NA,NA,2,2,2
ENSG00000129749.3,CHRNA10,1.1816670894622805,NA,0.23733782172797502,0.001103760583680466,NA,NA,NA,1,1,1
ENSG00000133812.15,SBF2,-1.1815595626831052,NA,0.23738050655621334,0.003020842460006723,NA,NA,NA,1,1,1
ENSG00000112902.11,SEMA5A,1.1814762663412741,NA,0.23741357637307015,0.08110182812698555,NA,NA,NA,2,2,2
ENSG00000150764.13,DIXDC1,1.1813681103820697,NA,0.23745652066357825,0.028698775103957158,NA,NA,NA,2,2,2
ENSG00000123552.17,USP45,-1.1813563108444214,NA,0.23746120610747368,0.03307720550279916,NA,NA,NA,1,1,1
ENSG00000105976.14,MET,1.1812556982040405,NA,0.2375011607394184,0.0002062254565419644,NA,NA,NA,1,1,1
ENSG00000222041.10,CYTOR,1.1812011003494263,NA,0.23752284426908843,0.04472321897339312,NA,NA,NA,1,1,1
ENSG00000077009.13,NMRK2,1.1811983585357668,NA,0.23752393321684362,0.0016680115813743532,NA,NA,NA,1,1,1
ENSG00000229314.5,ORM1,-1.1807576105252424,NA,0.23769902800221787,0.001179493860589608,NA,NA,NA,2,2,2
ENSG00000185339.8,TCN2,-1.180739164352417,NA,0.2377063580510963,0.0003921433253218095,NA,NA,NA,1,1,1
ENSG00000213199.7,ASIC3,1.180691064381096,NA,0.23772547253061116,0.03769502143994384,NA,NA,NA,2,2,2
ENSG00000138430.15,OLA1,-1.1804753419773055,NA,0.23781121195192345,0.0010775835583170593,NA,NA,NA,2,2,2
ENSG00000176293.19,ZNF135,-1.1803352832794187,NA,0.23786689033087782,0.005533437190260215,NA,NA,NA,1,1,1
ENSG00000119698.11,PPP4R4,1.1803286451961963,NA,0.23786952943661777,0.06644821793414384,NA,NA,NA,2,2,2
ENSG00000276476.2,LINC00540,-1.1803244352340696,NA,0.23787120320387467,7.633162209250737e-06,NA,NA,NA,1,1,1
ENSG00000127399.14,LRRC61,-1.1802821470087919,NA,0.2378880163216709,0.2250165693887893,NA,NA,NA,2,2,2
ENSG00000129910.7,CDH15,-1.1802587509155273,NA,0.2378973185924017,0.04120752232433692,NA,NA,NA,1,1,1
ENSG00000186026.6,ZNF284,-1.1800904273986819,NA,0.23796425148005151,0.056483723933662244,NA,NA,NA,1,1,1
ENSG00000197465.13,GYPE,-1.1792669296264646,NA,0.2382919023466935,0.0372543349511277,NA,NA,NA,1,1,1
ENSG00000185033.14,SEMA4B,1.1792570352554324,NA,0.23829584102514478,0.05589084279944867,NA,NA,NA,1,1,1
