gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000099940.11,SNAP29,2.0312752723693848,NA,0.04222707833264794,0.04847452089543117,NA,NA,NA,1,1,1
ENSG00000232850.3,PTGES2-AS1,-2.0307563051251107,NA,0.042279721522536916,0.039652455748270185,NA,NA,NA,2,2,2
ENSG00000145040.3,UCN2,-2.0300919682940908,NA,0.04234719178291497,0.016565707518689722,NA,NA,NA,3,3,3
ENSG00000133250.13,ZNF414,-2.028499166337616,NA,0.04250932830484018,0.0194300964322583,NA,NA,NA,2,2,2
ENSG00000066923.17,STAG3,-2.0278396128967726,NA,0.042576619955573984,0.06025089993230756,NA,NA,NA,3,3,3
ENSG00000167447.12,SMG8,2.027811050415039,NA,0.04257953610742746,0.005146379290374513,NA,NA,NA,1,1,1
ENSG00000122133.16,PAEP,2.02648115158081,NA,0.042715502313884796,0.016276497201167518,NA,NA,NA,1,1,1
ENSG00000123609.10,NMI,2.026456832885742,NA,0.04271799202269041,0.004442683511561893,NA,NA,NA,1,1,1
ENSG00000163145.12,C1QTNF7,2.026360273361206,NA,0.04272787884202012,0.006497490193038036,NA,NA,NA,1,1,1
ENSG00000182552.14,RWDD4,-2.0258848667144775,NA,0.04277658438674638,0.0017770265051564264,NA,NA,NA,1,1,1
ENSG00000116353.15,MECR,2.0251006921022476,NA,0.04285702586504299,0.05769527644056199,NA,NA,NA,4,4,4
ENSG00000133059.16,DSTYK,-2.0250093174736694,NA,0.042866407486539214,0.03010629862585439,NA,NA,NA,3,3,3
ENSG00000143228.12,NUF2,2.024843215942383,NA,0.04288346591967909,7.6245521780589744e-06,NA,NA,NA,1,1,1
ENSG00000163207.6,IVL,2.0247730411093836,NA,0.042890674517185645,0.027522010754080565,NA,NA,NA,2,2,2
ENSG00000140009.18,ESR2,-2.024651464605561,NA,0.04290316569376672,0.24112045258431625,NA,NA,NA,2,2,2
ENSG00000122512.14,PMS2,-2.0240077699696775,NA,0.042969352288561635,0.528894234221675,NA,NA,NA,6,6,6
ENSG00000226266.6,AC009961.3,2.0237039764404186,NA,0.04300061920801259,0.5725556187235633,NA,NA,NA,3,3,3
ENSG00000159055.3,MIS18A,2.0228006839752197,NA,0.043093701144185474,0.004278591992266363,NA,NA,NA,1,1,1
ENSG00000121851.12,POLR3GL,2.021650791168213,NA,0.04321244092185515,4.096518301543832e-06,NA,NA,NA,1,1,1
ENSG00000272031.2,ANKRD34A,2.021650791168213,NA,0.04321244092185515,0.004719671102801671,NA,NA,NA,1,1,1
ENSG00000170484.9,KRT74,-2.0215258598327637,NA,0.04322535816685653,0.002463755792008883,NA,NA,NA,1,1,1
ENSG00000154065.16,ANKRD29,2.0199077129364014,NA,0.043392961102003316,0.0019456257440504103,NA,NA,NA,1,1,1
ENSG00000053501.12,USE1,2.0194771004693775,NA,0.04343765506781545,0.004853736728451703,NA,NA,NA,3,3,3
ENSG00000064999.13,ANKS1A,-2.0184252262115474,NA,0.04354699435219883,0.0018609602357014744,NA,NA,NA,1,1,1
ENSG00000136261.14,BZW2,2.01790936682443,NA,0.04360070134892182,0.0024393324340711664,NA,NA,NA,2,2,2
ENSG00000119950.20,MXI1,2.016992330551147,NA,0.04369631368205823,0.001682771188133879,NA,NA,NA,1,1,1
ENSG00000146425.10,DYNLT1,2.0165913105010986,NA,0.043738180579203645,0.007150512488007436,NA,NA,NA,1,1,1
ENSG00000146067.15,FAM193B,2.016482654623407,NA,0.04374953019338557,0.02020281263120723,NA,NA,NA,2,2,2
ENSG00000163682.15,RPL9,-2.0154343165980237,NA,0.043859161813324034,0.25628298025288215,NA,NA,NA,2,2,2
ENSG00000281162.2,LINC01127,-2.014600170869633,NA,0.04394655956966551,0.015363825773920198,NA,NA,NA,2,2,2
ENSG00000273344.1,PAXIP1-AS1,2.013850973640956,NA,0.04402518212819186,0.02542669359743818,NA,NA,NA,2,2,2
ENSG00000253807.5,LINC01170,-2.0137754368996323,NA,0.0440331157211172,0.05324296592305762,NA,NA,NA,2,2,2
ENSG00000106105.13,GARS,-2.013251726587289,NA,0.04408815399889363,0.0028307857180002315,NA,NA,NA,2,2,2
ENSG00000152484.13,USP12,-2.0131826400756836,NA,0.0440954188401402,0.0024745247644829714,NA,NA,NA,1,1,1
ENSG00000148356.13,LRSAM1,2.0126840658995033,NA,0.044147876728134236,0.0006948764713881437,NA,NA,NA,2,2,2
ENSG00000198502.5,HLA-DRB5,2.0121577916189377,NA,0.04420330624282669,2.835373469496815,NA,NA,NA,4,4,4
ENSG00000187741.14,FANCA,2.011213182280205,NA,0.04430294397752639,0.01134748372971558,NA,NA,NA,2,2,2
ENSG00000230454.1,U73166.2,-2.011146068572998,NA,0.04431003036161228,0.006408086451678781,NA,NA,NA,1,1,1
ENSG00000172239.13,PAIP1,-2.0109047889709473,NA,0.044335514429104085,0.0004065139717806922,NA,NA,NA,1,1,1
ENSG00000156261.12,CCT8,2.0108652114868164,NA,0.04433969580259738,0.05991004861337917,NA,NA,NA,1,1,1
ENSG00000196224.7,KRTAP5-3,-2.0103041250822895,NA,0.04439901056654838,0.01213466962395477,NA,NA,NA,2,2,2
ENSG00000277144.1,RP11-59H7.4,-2.008169412612915,NA,0.04462529217285219,0.037673465092742095,NA,NA,NA,1,1,1
ENSG00000164182.10,NDUFAF2,2.0080974872385675,NA,0.04463293324392228,0.001176369454760254,NA,NA,NA,2,2,2
ENSG00000103089.8,FA2H,2.0080420058301396,NA,0.04463882812626888,0.04158073652782912,NA,NA,NA,2,2,2
ENSG00000030304.13,MUSK,2.0079760709446375,NA,0.044645834541356795,0.15130654297617468,NA,NA,NA,2,2,2
ENSG00000272381.1,RP11-192P3.4,2.0074970722198486,NA,0.0446967620662277,0.00018972736636956155,NA,NA,NA,1,1,1
ENSG00000173597.8,SULT1B1,-2.0066803367513018,NA,0.04478371104156383,0.010060823096852727,NA,NA,NA,2,2,2
ENSG00000168802.12,CHTF8,-2.0057930946350098,NA,0.04487832772070676,0.0021893907896181754,NA,NA,NA,1,1,1
ENSG00000171456.16,ASXL1,-2.0056605339050297,NA,0.044892478638769204,2.5912635162621024e-06,NA,NA,NA,1,1,1
ENSG00000182575.7,NXPH3,-2.0043427944183354,NA,0.04503335266593665,1.7791685572680632e-05,NA,NA,NA,1,1,1
