gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000092871.16,RFFL,-0.1785406619310379,NA,0.858298390550897,0.013280545691267286,NA,NA,NA,1,1.0,1
ENSG00000104412.7,EMC2,0.17853233218193054,NA,0.8583049316443329,0.0007831458257399909,NA,NA,NA,1,1.0,1
ENSG00000272690.5,LINC02018,0.17838354291655437,NA,0.858421772874631,0.10284709216595242,NA,NA,NA,4,4.0,4
ENSG00000088833.17,NSFL1C,0.17827802466877885,NA,0.8585046361210407,0.10544629756457492,NA,NA,NA,4,4.0,4
ENSG00000112110.9,MRPL18,-0.17827255192486102,NA,0.8585089338972536,0.05648252127238078,NA,NA,NA,3,3.0,3
ENSG00000088827.12,SIGLEC1,-0.17808492481708527,NA,0.8586562810429967,0.00020493109471169947,NA,NA,NA,1,1.0,1
ENSG00000111817.16,DSE,-0.1780098800371077,NA,0.8587152165185112,0.04461488375895571,NA,NA,NA,2,2.0,2
ENSG00000114956.19,DGUOK,-0.17789754967822013,NA,0.8588034352263131,0.002853254023025268,NA,NA,NA,2,2.0,2
ENSG00000165915.13,SLC39A13,0.17784675955772403,NA,0.8588433238535976,0.00584496002636888,NA,NA,NA,1,1.0,1
ENSG00000273148.1,RP5-1068E13.7,0.17777126236279278,NA,0.8589026171424787,0.021529506925665264,NA,NA,NA,2,2.0,2
ENSG00000145423.4,SFRP2,0.17764394317384422,NA,0.8590026117123146,0.009638425800707735,NA,NA,NA,2,2.0,2
ENSG00000163082.9,SGPP2,0.17753161236752987,NA,0.8590908365105965,0.02284709221025187,NA,NA,NA,2,2.0,2
ENSG00000162444.11,RBP7,0.17743391159155494,NA,0.8591675722898738,0.0022959860435234855,NA,NA,NA,2,2.0,2
ENSG00000175471.19,MCTP1,-0.17715708911418915,NA,0.8593850003900214,7.680391971461678e-06,NA,NA,NA,1,1.0,1
ENSG00000115568.15,ZNF142,-0.17689847803987496,NA,0.8595881341170726,0.020296337086838076,NA,NA,NA,2,2.0,2
ENSG00000132704.15,FCRL2,-0.17689438164234159,NA,0.8595913518286318,0.0021628215903512905,NA,NA,NA,1,1.0,1
ENSG00000204397.7,CARD16,0.17688611629127762,NA,0.8595978442514303,0.0036044292969699848,NA,NA,NA,2,2.0,2
ENSG00000217555.12,CKLF,-0.17687918934710956,NA,0.8596032853646172,0.0005499227176854081,NA,NA,NA,2,2.0,2
ENSG00000198846.5,TOX,-0.1768085239054701,NA,0.8596587934350233,0.0010865021984198234,NA,NA,NA,2,2.0,2
ENSG00000205403.12,CFI,0.17647418541324064,NA,0.8599214274508742,0.0017639712547420528,NA,NA,NA,3,3.0,3
ENSG00000120675.5,DNAJC15,-0.17636845162976647,NA,0.8600044880843164,0.4016975298151856,NA,NA,NA,2,2.0,2
ENSG00000219545.11,UMAD1,-0.17634010314941406,NA,0.8600267578878096,0.0015937234800526283,NA,NA,NA,1,1.0,1
ENSG00000107185.9,RGP1,0.17627223794502403,NA,0.8600800714188028,0.033264117406330035,NA,NA,NA,2,2.0,2
ENSG00000214654.7,RP11-27I1.4,0.17618325352668762,NA,0.8601499767431589,0.002371119697595065,NA,NA,NA,1,1.0,1
ENSG00000275714.1,HIST1H3A,0.17592723422349715,NA,0.8603511092170371,0.00025464050870949704,NA,NA,NA,2,2.0,2
ENSG00000150756.13,FAM173B,-0.1757933287170212,NA,0.8604563109320922,0.008312211070746195,NA,NA,NA,2,2.0,2
ENSG00000105612.8,DNASE2,-0.17577339708805081,NA,0.8604719702575823,0.05145784096247424,NA,NA,NA,1,1.0,1
